Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
William Unek,"Belgian Congo, Tanganyika",1954,1957,57,57,"Unek was a police constable who murdered 21 people with an axe in less than two hours before fleeing. Three years later, Unek, armed with rifle and axe, murdered 36 more people in the village of Malampaka before being mortally wounded by police with a smoke bomb that caught fire.",Multiple continents,Multiple Countries,Male,1950s
Mohammed Bijeh,Iran,2002,2004,54,54,"Bijeh raped and killed at least 54 male children and teenagers. On November 27, 2004, he was sentenced to be executed. Bijeh said that if he was not arrested, he would kill 100 children. He was executed after being lashed in front of a crowd in 2005.",Asia,Iran,Male,2000s
Andrei Chikatilo,Soviet Union,1978,1990,53,56,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Chikatilo was convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Chikatilo was executed by gunshot in 1994.",Multiple continents,Soviet Union,Male,1970s
Anatoly Onoprienko,"Soviet Union, Ukraine",1989,1996,52,52,"Known as ""The Beast of Ukraine"", ""The Terminator"", and ""Citizen O"". Onoprienko was convicted of the murders of nine people in 1989, and 43 people in 1995–1996. He travelled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. He was sentenced to death, and was later commuted to imprisonment for life. He died from heart failure in 2013.",Multiple continents,Multiple Countries,Male,1980s
Florisvaldo de Oliveira,Brazil,1982,1983,50,50,"Known as ""Cabo Bruno""; de Oliveira was a former police officer and vigilante who murdered criminals in the outskirts of São Paulo. He was murdered by unknown assailants in 2012.",South America,Brazil,Male,1980s
Gary Ridgway,United States,1982,1998,49,80,"Ridgway was a truck painter who confessed to killing 71 women. He was also known as The ""Green River Killer"". He almost exclusively targeted sex workers from Seattle. Ridgway was suspected of killing over 90 victims; he confessed to 71, and was convicted of 49. He was sentenced to life without parole.",North America,United States,Male,1980s
Alexander Pichushkin,Russia,1992,2006,49,60,"Pichushkin was also known as the ""Chessboard Killer"". He was convicted of murdering 49 victims, and suspected of killing 60. He claimed to have murdered 62 people, because he did not know that two of his victims had survived; he stated that his goal was becoming Russia's most prolific serial killer. He was sentenced to life imprisonment.",Europe,Russia,Male,1990s
Wang Qiang,China,1995,2003,45,60,Wang killed 45 and raped 10 from 1995 to 2003. He was executed by firing squad in 2005.,Asia,China,Male,1990s
Ahmad Suradji,Indonesia,1986,1997,42,42,Suradji was convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. He was executed by firing squad in 2008.,Asia,Indonesia,Male,1980s
Raman Raghav,India,1965,1968,41,41,"In the late 1960s, Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their shelters while they slept. He died of kidney failure in 1995.",Asia,India,Male,1960s
Moses Sithole,South Africa,1994,1995,38,76,"Known as South Africa's Ted Bundy. Sithole preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. He was sentenced to 2,410 years imprisonment, with a non-parole period of 930 years.",Africa,South Africa,Male,1990s
Serhiy Tkach,"Soviet Union, Ukraine",1984,2005,37,100,"A former Ukrainian police criminal investigator, Tkach suffocated girls aged between eight and eighteen, and performed sexual acts on their bodies after they were dead. He claimed to have killed 100. He was sentenced to life imprisonment, and died from heart failure in 2018.",Multiple continents,Multiple Countries,Male,1980s
Gennady Mikhasevich,Soviet Union,1971,1985,36,49,"Mikhasevich killed women by strangling them. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). He was executed by firing squad in 1987.",Multiple continents,Soviet Union,Male,1970s
Hadj Mohammed Mesfewi,Morocco,,1906,36,36,"Known as ""Marrakesh Arch-Killer""; Mesfewi drugged, mutilated and murdered women; he was executed by immurement (walling) in 1906.",Africa,Morocco,Male,<NA>s
Vera Renczi,"Kingdom of Romania, Yugoslavia, Hungary",1920,1930,35,35,"Romanian serial killer nicknamed, ""The Black Widow"". Renczi was convicted of killing 35 men through arsenic poisoning, but confessed to only killing 32 victims. Renczi is one of the world's most prolific female serial killers. However, there is very little information about Renczi and her crimes, because personal information (criminal history, academic records, etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore, rather than an actual person.",Europe,Multiple Countries,Female,1920s
Fernando Hernández Leyva,Mexico,1982,1999,33,137,"Hernández Leyva confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted, and claimed that he had been beaten by the police and his family threatened in order to force him to confess. He was accused of as many as 137 murders in five southern Mexican states, was convicted of 33 murders, and was sentenced to 50 years in prison. He tried unsuccessfully to commit suicide in prison. If his claim of 100+ victims were true, then Leyva would be Mexico's most prolific documented serial killer.",North America,Mexico,Male,1980s
John Wayne Gacy,United States,1972,1978,33,39,"Gacy is known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. He was known as the ""Killer Clown"", due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994.",North America,United States,Male,1970s
Ali Asghar Borujerdi,"Ottoman Empire, Iraq, Iran",1907,1934,33,33,"Known as ""Asghar the Murderer"". Borujerdi killed 33 young adults in Iraq and Iran. He was executed by hanging in 1934.",Multiple continents,Multiple Countries,Male,1900s
Vasili Komaroff,Soviet Union,1921,1923,33,33,"Known as ""The Wolf of Moscow""; Komaroff was a horse trader who killed 33 men. He was executed by firing squad in 1923.",Multiple continents,Soviet Union,Male,1920s
Ramadan Abdel Rehim Mansour,Egypt,1999,2006,32,32,"Mansour was a gang leader known as ""al-Tourbini"" (""The Express Train""). He had raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia, and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times, they were thrown into the Nile or buried alive. Mansour was executed in 2010.",Africa,Egypt,Male,1990s
Radik Tagirov,Russia,2011,2012,31,31,"Known as the ""Volga Maniac"". He murdered elderly women in several Russian regions.",Europe,Russia,Male,2010s
Karl Denke,Germany,1900,1924,30,42,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Killed himself by hanging in his holding cell before he could be tried.",Europe,Germany,Male,1900s
Francisco das Chagas Rodrigues de Brito,Brazil,1989,2003,30,42,"Serial killer of children, who also sexually abused and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment.",South America,Brazil,Male,1980s
Monster of the Mangones,Colombia,1963,1970,30,38,"Unidentified serial killer(s) who kidnapped, tortured, raped, and murdered at least 30 boys in Cali, Colombia.",South America,Colombia,Unidentified,1960s
Milton Sipalo,Zambia,1980,1989,30,31,"Known as ""The Lusaka Strangler""; A soldier who raped and murdered women and girls in Lusaka. While awaiting trial, he jumped off of the roof of the police station where he was being interrogated, killing himself.",Africa,Zambia,Male,1980s
Luis Gregorio Ramírez Maestre,Colombia,2010,2012,30,30,Killed motorists in various municipalities before his 2012 capture. Was sentenced to 34 years in prison.,South America,Colombia,Male,2010s
David Thabo Simelane,Swaziland,2000,2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.",Africa,Swaziland,Male,2000s
Zhang Jun,China,1993,2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.",Asia,China,Male,1990s
Mariam Soulakiotis,Greece,1939,1951,27,177,"Known as ""Mother Rasputin""; abbess believed to have murdered wealthy women and children who came into her abbey. The true number of her victims is a matter of debate, but she was found guilty of 177 murders—150 through negligence (fraudulently claiming to offer free tuberculosis treatment when the 'treatment' only consisted of abiding in her high altitude convent) and 27 through starvation. Died in prison in 1954.",Europe,Greece,Female,1930s
Cedric Maake,South Africa,1996,1997,27,35,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.",Africa,South Africa,Male,1990s
Robert Pickton,Canada,1983,2002,26,49,"Known as the ""Pig Farmer Killer"" or the ""Butcher"", he killed women from mostly the Vancouver Downtown Eastside and would feed the remains to the pigs on his farm. In 2007, he was initially convicted for the deaths of 6 woman, but was later found guilty of the deaths of 20 other woman in 2010; however he confessed to 49 killings to an undercover police officer. In 2024, Pickton died of injuries received in an attack from another inmate.",North America,Canada,Male,1980s
Bruce George Peter Lee,United Kingdom,1973,1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.",Europe,United Kingdom,Male,1970s
The Stoneman,India,1985,1989,25,25,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders.",Asia,India,Male,1980s
Juan Corona,United States,1971,1980,25,25,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.,North America,United States,Male,1970s
Fritz Haarmann,Germany,1918,1924,24,27,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.",Europe,Germany,Male,1910s
Béla Kiss,Austria-Hungary,1912,1916,24,24,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.",Multiple continents,Austria-Hungary,Male,1910s
Majid Salek Mohammadi,Iran,1981,1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; killed himself before he could be sentenced.",Asia,Iran,Male,1980s
Yvan Keller,"France, Germany, Switzerland",1989,2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; killed himself before trial.",Europe,Multiple Countries,Male,1980s
Ronald Dominique,United States,1997,2006,23,23,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms.",North America,United States,Male,1990s
Juan Fernando Hermosa,Ecuador,1991,1992,23,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.",South America,Ecuador,Male,1990s
Gerald Stano,United States,1969,1980,22,88,"Confessed to killing 41 women, mostly in Florida and New Jersey. He was only convicted in 22 cases, and is suspected in the deaths of up to 88 victims. Some people have suggested that Stano was a serial confessor.",North America,United States,Male,1960s
Earle Nelson,"United States, Canada",1926,1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.",North America,Multiple Countries,Male,1920s
Mikhail Novosyolov,"Soviet Union, Russia, Tajikistan",1977,1995,22,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.",Multiple continents,Multiple Countries,Male,1970s
Manuel Octavio Bermúdez,Colombia,1999,2003,21,50,"Colombian child rapist and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison.",South America,Colombia,Male,1990s
Patrick Kearney,United States,1965,1977,21,43,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life.",North America,United States,Male,1960s
William Bonin,United States,1979,1980,21,36,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.",North America,United States,Male,1970s
Vasile Tcaciuc,Romania,1917,1935,21,26,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.,Europe,Romania,Male,1910s
Yoo Young-chul,South Korea,2003,2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated.",Asia,South Korea,Male,2000s
Francisco Guerrero Pérez,Mexico,1880,1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed sex workers in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.",North America,Mexico,Male,1880s
Ted Bundy,United States,1974,1978,20,67,"Bundy was an American serial killer known for his charisma and good looks. He officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. He was infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another. He was executed by electric chair in 1989.",North America,United States,Male,1970s
Abdullah Shah,Afghanistan,1990,,20,20,"Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed on April 20, 2004.",Asia,Afghanistan,Male,1990s
Mohan Kumar,India,2005,2009,20,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.",Asia,India,Male,2000s
Bulelani Mabhayi,South Africa,2007,2012,20,20,"Known as the ""Monster of Thuleni""; killed 20 women and children from 2007 to 2012. Sentenced to 25 life sentences on September 3, 2013.",Africa,South Africa,Male,2000s
Larry Eyler,United States,1982,1984,19,23,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.",North America,United States,Male,1980s
Cape Town Prostitute Killer,South Africa,1992,1996,19,20,"Unidentified serial killer who, on rainy nights, picked up sex workers and domestic workers in his vehicle, strangled them in parking lots, and dumped their bodies in rural, preselected spots.",Africa,South Africa,Unidentified,1990s
"""El Psicópata""",Costa Rica,1986,1996,19,19,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.",North America,Costa Rica,Male,1980s
Sergei Ryakhovsky,"Soviet Union, Russia",1988,1993,19,19,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005.",Multiple continents,Multiple Countries,Male,1980s
Yevgeny Chuplinsky,Russia,1998,2006,19,19,"Known as the ""Novosibirsk Maniac""; killed sex workers in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment.",Europe,Russia,Male,1990s
M. Jaishankar,India,2008,2011,19,19,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Killed himself by slashing his wrists with a shaving blade in prison on 27 February 2018.",Asia,India,Male,2000s
Ansis Kaupēns,Latvia,1920,1926,19,19,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.,Europe,Latvia,Male,1920s
Vadim Ershov,Russia,1992,1995,19,19,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment.",Europe,Russia,Male,1990s
Velaphi Ndlangamandla,South Africa,1998,2007,19,19,"Known as ""The Saloon Killer""; robber who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment.",Africa,South Africa,Male,1990s
Valery Kopytov,Russia,2000,2004,19,19,"Known as ""The Barnaul Chikatilo""; homeless man who killed other homeless people in Altai Krai.",Europe,Russia,Male,2000s
Randall Woodfield,United States,1979,1981,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders. Sentenced to imprisonment for life.",North America,United States,Male,1970s
Yavuz Yapıcıoğlu,Turkey,1994,2002,18,40,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives. Was sentenced to 74 years in prison.,Asia,Turkey,Male,1990s
Paul John Knowles,United States,1974,1983,18,35,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents.",North America,United States,Male,1970s
Thierry Paulin,France,1984,1987,18,21,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.",Europe,France,Male,1980s
Richard Nyauza,South Africa,2002,2006,18,19,"Known as ""The Quarry Murderer""; bludgeoned, beat, strangled, and stabbed 16 women and two unborn children to death and left their bodies in or around a quarry. Given 16 life sentences.",Africa,South Africa,Male,2000s
Umesh Reddy,India,1996,2002,18,18,Confessed to 18 rapes and murders. Sentenced to death.,Asia,India,Male,1990s
Christopher Mhlengwa Zikode,South Africa,1994,1995,18,18,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994 to 1995. Was given 140 years (5 life sentences).",Africa,South Africa,Male,1990s
Kotakethana murders,Sri Lanka,2008,2015,18,18,18 mysterious murders of women in the Rathnapura district of Sri Lanka. One middle age man suspect was arrested in 2015 and his DNA matched with six murders. Nine other cases remain unsolved.,Asia,Sri Lanka,Male,2000s
Asande Baninzi,South Africa,2001,2010,18,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment.",Africa,South Africa,Male,2000s
Vladimir Mirgorod,Russia,2002,2004,18,18,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment.",Europe,Russia,Male,2000s
Richard Cottingham,United States,1967,1980,17,92,"Killer operating in New York and New Jersey who often targeted sex workers and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", with 17 confirmed homicide victims including nine convictions and a further eight official confessions. He has made unsubstantiated claims of up to a hundred victims.",North America,United States,Male,1960s
Huang Yong,China,2001,2003,17,25,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003. Executed by firing squad in 2003.",Asia,China,Male,2000s
Pedro Pablo Nakada Ludeña,Peru,2005,2006,17,25,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.",South America,Peru,Male,2000s
Darbara Singh,India,2004,2013,17,23,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 from an illness while serving a life sentence.,Asia,India,Male,2000s
Robert Hansen,United States,1971,1983,17,21,"Sex workers he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 17 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014.",North America,United States,Male,1970s
Sergei Dovzhenko,Ukraine,1992,2002,17,19,"Killed people because they were ""mocking"" him; sentenced to life imprisonment.",Europe,Ukraine,Male,1990s
Donato Bilancia,Italy,1997,1998,17,17,"Burglar who murdered 17 people, mainly sex workers, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life, he died due to COVID-19 in 2020.",Europe,Italy,Male,1990s
Irina Gaidamachuk,Russia,2002,2010,17,17,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison.",Europe,Russia,Female,2000s
Chen Fuzhao,China,2003,2012,17,17,Alleged Falun Gong fanatic who fatally poisoned 17 people in 2003.,Asia,China,Male,2000s
Randy Steven Kraft,United States,1971,1983,16,67,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death.",North America,United States,Male,1970s
Juana Barraza,Mexico,,,16,49,Mexican female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.,North America,Mexico,Female,<NA>s
Michel Fourniret,"France, Belgium",1987,2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.,Europe,Multiple Countries,Male,1980s
Sipho Agmatir Thwala,South Africa,1996,1997,16,19,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders and sentenced to life.",Africa,South Africa,Male,1990s
Saeed Hanaei,Iran,2000,2001,16,19,"Confessed to luring 16 sex workers to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002.",Asia,Iran,Male,2000s
Maina Ramulu,India,2003,2020,16,18,"Convicted of murdering 16 women between 2003 and 2013 during three separate murder sprees. He was released from prison in 2020, and allegedly murdered two more women.",Asia,India,Male,2000s
Jeffrey Dahmer,United States,1978,1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.,North America,United States,Male,1970s
José Antonio Rodríguez Vega,Spain,1987,1988,16,16,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002.",Europe,Spain,Male,1980s
Carroll Cole,United States,1948,1980,16,16,"Killed 16 people in California, Nevada, and Texas. Executed by lethal injection in 1985.",North America,United States,Male,1940s
Elias Xitavhudzi,South Africa,1950,,16,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960.",Africa,South Africa,Male,1950s
Charles Ray Hatcher,United States,1969,1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; killed himself by hanging himself in prison in 1984.",North America,United States,Male,1960s
Yuri Ivanov,Soviet Union,1974,1987,16,16,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987.",Multiple continents,Soviet Union,Male,1970s
Robert Lee Yates,United States,1975,1998,16,16,"Killed sex workers in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.",North America,United States,Male,1970s
Farid Baghlani,Iran,2004,2008,16,16,"Known as the ""Cyclist killer""; murdered 15 women and 1 boy. Executed by hanging on November 13, 2010.",Asia,Iran,Male,2000s
Jimmy Maketta,South Africa,2005,2014,16,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.,Africa,South Africa,Male,2000s
Jack Mogale,South Africa,2008,2009,16,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.",Africa,South Africa,Male,2000s
Donald Henry Gaskins,United States,1953,1982,15,100,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 100 and 110 victims. Executed by electric chair in 1991.",North America,United States,Male,1950s
Ravinder Kumar,India,2008,2015,15,30,Serial rapist who killed children of poor families.,Asia,India,Male,2000s
Atlanta Ripper,United States,1911,1920,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.",North America,United States,Unidentified,1910s
